"H0013301","H0013400","H0013401","H0013402","H0013403","H0013404","H0013405","H0013406","H0013407","H0013408","R0000100","R0173600","R0214700","R0214800","T4998600","T4998601","T4998602","T4998603","T4998604","T4998605","T4998606","T4998607","T4998608","T4998609","T5733900","T5733901","T5733902","T5733903","T5733904","T5733905","T5733906","T5733907","T5733908","T5733909","T8162900","T8162901","T8162902","T8162903","T8162904","T8162905","T8162906","T8162907","T8162908","T8162909"
0,0,0,0,0,0,0,0,0,0,81,1,3,1,7,7,7,2,7,7,7,1,7,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
7,2,1,1,1,1,2,0,0,0,82,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
9,0,0,3,0,3,0,0,0,3,83,3,2,1,2,6,6,6,5,5,4,5,5,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
0,0,0,0,0,0,0,0,0,0,84,3,2,1,7,4,7,3,7,7,7,1,7,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
12,3,1,3,0,2,3,0,0,1,85,3,2,1,7,1,-2,1,-2,7,7,7,7,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2,0,3,0,0,2,0,0,0,0,86,7,2,2,3,1,7,2,4,2,7,6,6,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
5,0,0,0,0,3,2,0,0,0,87,3,2,1,7,1,7,1,7,7,7,1,7,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
0,0,0,0,0,0,0,0,0,0,88,3,2,1,6,4,6,3,6,3,4,2,5,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
6,0,1,0,1,0,3,0,1,1,89,7,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,3,7,5,5,7,4,2,5,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
7,0,1,1,1,2,1,1,1,1,90,1,3,1,4,4,2,3,4,2,3,6,4,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3,0,0,1,1,0,0,1,1,0,91,5,3,2,6,5,5,5,6,5,6,3,5,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
0,0,0,0,0,0,0,0,0,0,92,5,3,2,7,2,6,5,5,2,7,2,5,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2,0,0,0,0,0,1,0,0,1,93,1,3,1,7,7,7,1,7,1,7,1,7,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3,0,1,1,1,1,0,1,0,0,94,1,3,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4,0,0,1,0,0,2,0,1,0,95,5,3,2,7,1,4,1,7,3,4,1,7,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4,0,0,0,1,1,0,0,1,1,96,6,3,2,5,1,7,1,4,6,7,7,7,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
8,0,1,1,1,1,3,2,2,0,97,5,3,2,5,4,6,4,6,4,6,3,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4,0,0,0,0,0,2,0,0,2,98,6,3,2,5,3,7,5,6,6,7,1,5,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
7,2,0,1,1,1,0,1,1,1,99,5,3,2,6,4,6,2,5,4,6,3,6,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
8,2,1,1,1,1,2,0,0,1,100,5,3,2,1,7,7,7,1,7,7,7,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2,0,0,0,0,1,1,0,0,0,101,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,0,0,0,0,0,0,0,1,0,102,5,3,2,7,1,7,2,5,5,7,2,7,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
6,0,1,1,1,1,1,1,1,1,103,1,3,1,6,2,6,3,6,3,6,2,6,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,104,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,0,0,0,0,1,1,0,0,0,105,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,0,0,0,0,0,0,0,0,0,106,1,3,1,6,3,7,2,5,7,6,1,6,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
7,1,1,1,1,0,0,0,2,2,107,1,3,1,5,3,4,4,5,3,7,2,6,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
0,0,0,0,0,0,0,0,0,0,108,1,3,1,7,3,7,2,7,6,7,4,7,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,109,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,0,0,1,0,1,1,0,0,1,110,1,3,1,7,2,7,2,6,2,7,1,6,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
6,0,0,2,0,0,2,0,0,2,111,5,3,2,7,1,5,1,6,2,7,2,6,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
