"H0000200","H0013201","R0000100","R0000149","R0173600","R0214700","R0214800","T2210000","T2210700","T3107800","T3108600","T4112300","T4113100","T5022600","T5023500","T5770800","T5771400","T7743900","T8218700"
-4,-4,8533,8533,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8534,8533,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2010,8535,8535,10,2,1,-1,12,-1,12,-2,12,-2,12,33784,12,-4,13632
2004,-4,8536,8535,10,2,1,41000,12,23288,12,29032,12,-5,-5,-5,-5,-5,-5
-4,2008,8537,8537,13,2,2,62000,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,-4,8538,8538,10,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,8539,8539,13,2,2,14550,13,12082,15,-2,15,22176,15,21000,15,-4,23000
1998,2008,8540,8540,13,2,2,43000,12,43000,12,50000,12,40000,12,58000,12,-4,55000
2006,2010,8541,8540,10,2,1,210000,14,29000,14,20000,14,67000,14,42000,14,-4,48000
-4,-4,8542,8542,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8543,8542,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8544,8542,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8545,8545,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8546,8545,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8547,8547,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8548,8548,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,8549,8549,13,2,2,28800,12,125400,12,30000,12,22800,12,33600,12,-4,38400
-4,-4,8550,8550,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,-4,8551,8551,10,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2004,-4,8552,8551,10,2,1,23000,12,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1998,2008,8553,8553,13,2,2,68700,14,73000,14,76500,14,73000,14,76300,14,-4,102765
-4,-4,8554,8554,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8555,8555,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8556,8555,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,8557,8557,13,2,2,11648,12,-2,12,-2,12,-2,12,-2,12,-4,5400
2002,2012,8558,8557,13,2,2,36000,12,38000,12,40000,12,39000,12,42000,12,-4,41000
2002,2012,8559,8559,10,2,1,71200,12,97012,12,-2,12,97000,12,118000,12,-4,-3
2006,2014,8560,8559,10,2,1,-2,12,75600,12,140000,12,99601,12,87500,12,-4,-3
2004,2014,8561,8561,13,2,2,8813,12,10092,12,8304,12,13568,14,24444,14,-4,12000
-4,-4,8562,8562,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8563,8563,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8564,8563,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8565,8563,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8566,8566,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,8567,8566,9,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2002,2012,8568,8568,13,2,2,27000,12,32376,12,34000,12,41000,12,36000,12,-4,35942
2004,2014,8569,8568,10,2,1,27000,12,29000,12,16776,12,14000,12,32760,12,-4,32760
2004,2014,8570,8570,13,2,2,19080,12,38160,12,0,12,10800,12,10000,12,-4,1700
-4,-4,8571,8571,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
